cpu_percent,cpu_freq,cpu_memory,cpu_temp,gpu_percent,gpu_memory,gpu_temp,per_cpu,avg_p_core,avg_e_core
33.4,3100.0,73.2,37.272377170551266,0.0,6.3720703125,39.0,"[{'logical_id': 0, 'usage': 33.3, 'type': 'P'}, {'logical_id': 1, 'usage': 0.0, 'type': 'P'}, {'logical_id': 2, 'usage': 57.1, 'type': 'P'}, {'logical_id': 3, 'usage': 0.0, 'type': 'P'}, {'logical_id': 4, 'usage': 57.1, 'type': 'P'}, {'logical_id': 5, 'usage': 0.0, 'type': 'P'}, {'logical_id': 6, 'usage': 28.6, 'type': 'P'}, {'logical_id': 7, 'usage': 0.0, 'type': 'P'}, {'logical_id': 8, 'usage': 0.0, 'type': 'E'}, {'logical_id': 9, 'usage': 28.6, 'type': 'E'}, {'logical_id': 10, 'usage': 14.3, 'type': 'E'}, {'logical_id': 11, 'usage': 42.9, 'type': 'E'}, {'logical_id': 12, 'usage': 50.0, 'type': 'E'}, {'logical_id': 13, 'usage': 28.6, 'type': 'E'}, {'logical_id': 14, 'usage': 0.0, 'type': 'E'}, {'logical_id': 15, 'usage': 0.0, 'type': 'E'}]",22.0125,20.55
35.3,3100.0,74.0,37.5833451998563,0.0,6.3720703125,39.0,"[{'logical_id': 0, 'usage': 33.3, 'type': 'P'}, {'logical_id': 1, 'usage': 75.0, 'type': 'P'}, {'logical_id': 2, 'usage': 16.7, 'type': 'P'}, {'logical_id': 3, 'usage': 0.0, 'type': 'P'}, {'logical_id': 4, 'usage': 50.0, 'type': 'P'}, {'logical_id': 5, 'usage': 0.0, 'type': 'P'}, {'logical_id': 6, 'usage': 66.7, 'type': 'P'}, {'logical_id': 7, 'usage': 0.0, 'type': 'P'}, {'logical_id': 8, 'usage': 33.3, 'type': 'E'}, {'logical_id': 9, 'usage': 0.0, 'type': 'E'}, {'logical_id': 10, 'usage': 33.3, 'type': 'E'}, {'logical_id': 11, 'usage': 66.7, 'type': 'E'}, {'logical_id': 12, 'usage': 0.0, 'type': 'E'}, {'logical_id': 13, 'usage': 16.7, 'type': 'E'}, {'logical_id': 14, 'usage': 33.3, 'type': 'E'}, {'logical_id': 15, 'usage': 50.0, 'type': 'E'}]",30.2125,29.1625
38.4,3100.0,74.4,51.334751365835764,0.0,7.03125,39.0,"[{'logical_id': 0, 'usage': 0.0, 'type': 'P'}, {'logical_id': 1, 'usage': 66.7, 'type': 'P'}, {'logical_id': 2, 'usage': 66.7, 'type': 'P'}, {'logical_id': 3, 'usage': 0.0, 'type': 'P'}, {'logical_id': 4, 'usage': 83.3, 'type': 'P'}, {'logical_id': 5, 'usage': 0.0, 'type': 'P'}, {'logical_id': 6, 'usage': 66.7, 'type': 'P'}, {'logical_id': 7, 'usage': 0.0, 'type': 'P'}, {'logical_id': 8, 'usage': 16.7, 'type': 'E'}, {'logical_id': 9, 'usage': 50.0, 'type': 'E'}, {'logical_id': 10, 'usage': 33.3, 'type': 'E'}, {'logical_id': 11, 'usage': 0.0, 'type': 'E'}, {'logical_id': 12, 'usage': 0.0, 'type': 'E'}, {'logical_id': 13, 'usage': 0.0, 'type': 'E'}, {'logical_id': 14, 'usage': 0.0, 'type': 'E'}, {'logical_id': 15, 'usage': 20.0, 'type': 'E'}]",35.425,15.0
31.7,3100.0,74.8,62.3251768240586,2.0,7.0068359375,41.0,"[{'logical_id': 0, 'usage': 0.0, 'type': 'P'}, {'logical_id': 1, 'usage': 0.0, 'type': 'P'}, {'logical_id': 2, 'usage': 12.5, 'type': 'P'}, {'logical_id': 3, 'usage': 0.0, 'type': 'P'}, {'logical_id': 4, 'usage': 14.3, 'type': 'P'}, {'logical_id': 5, 'usage': 0.0, 'type': 'P'}, {'logical_id': 6, 'usage': 0.0, 'type': 'P'}, {'logical_id': 7, 'usage': 0.0, 'type': 'P'}, {'logical_id': 8, 'usage': 50.0, 'type': 'E'}, {'logical_id': 9, 'usage': 75.0, 'type': 'E'}, {'logical_id': 10, 'usage': 75.0, 'type': 'E'}, {'logical_id': 11, 'usage': 50.0, 'type': 'E'}, {'logical_id': 12, 'usage': 62.5, 'type': 'E'}, {'logical_id': 13, 'usage': 75.0, 'type': 'E'}, {'logical_id': 14, 'usage': 50.0, 'type': 'E'}, {'logical_id': 15, 'usage': 0.0, 'type': 'E'}]",3.35,54.6875
16.0,3100.0,75.5,53.48172578804103,7.000000000000001,7.177734375,41.0,"[{'logical_id': 0, 'usage': 0.0, 'type': 'P'}, {'logical_id': 1, 'usage': 28.6, 'type': 'P'}, {'logical_id': 2, 'usage': 28.6, 'type': 'P'}, {'logical_id': 3, 'usage': 0.0, 'type': 'P'}, {'logical_id': 4, 'usage': 14.3, 'type': 'P'}, {'logical_id': 5, 'usage': 0.0, 'type': 'P'}, {'logical_id': 6, 'usage': 50.0, 'type': 'P'}, {'logical_id': 7, 'usage': 0.0, 'type': 'P'}, {'logical_id': 8, 'usage': 88.9, 'type': 'E'}, {'logical_id': 9, 'usage': 55.6, 'type': 'E'}, {'logical_id': 10, 'usage': 62.5, 'type': 'E'}, {'logical_id': 11, 'usage': 37.5, 'type': 'E'}, {'logical_id': 12, 'usage': 62.5, 'type': 'E'}, {'logical_id': 13, 'usage': 42.9, 'type': 'E'}, {'logical_id': 14, 'usage': 42.9, 'type': 'E'}, {'logical_id': 15, 'usage': 16.7, 'type': 'E'}]",15.1875,51.18749999999999
19.7,3100.0,75.2,40.07083359027337,35.0,7.2021484375,40.0,"[{'logical_id': 0, 'usage': 0.0, 'type': 'P'}, {'logical_id': 1, 'usage': 33.3, 'type': 'P'}, {'logical_id': 2, 'usage': 66.7, 'type': 'P'}, {'logical_id': 3, 'usage': 0.0, 'type': 'P'}, {'logical_id': 4, 'usage': 50.0, 'type': 'P'}, {'logical_id': 5, 'usage': 0.0, 'type': 'P'}, {'logical_id': 6, 'usage': 50.0, 'type': 'P'}, {'logical_id': 7, 'usage': 0.0, 'type': 'P'}, {'logical_id': 8, 'usage': 33.3, 'type': 'E'}, {'logical_id': 9, 'usage': 16.7, 'type': 'E'}, {'logical_id': 10, 'usage': 33.3, 'type': 'E'}, {'logical_id': 11, 'usage': 50.0, 'type': 'E'}, {'logical_id': 12, 'usage': 0.0, 'type': 'E'}, {'logical_id': 13, 'usage': 16.7, 'type': 'E'}, {'logical_id': 14, 'usage': 33.3, 'type': 'E'}, {'logical_id': 15, 'usage': 50.0, 'type': 'E'}]",25.0,29.1625
21.6,3100.0,75.9,46.41408071563507,8.0,7.470703125,40.0,"[{'logical_id': 0, 'usage': 0.0, 'type': 'P'}, {'logical_id': 1, 'usage': 0.0, 'type': 'P'}, {'logical_id': 2, 'usage': 85.7, 'type': 'P'}, {'logical_id': 3, 'usage': 0.0, 'type': 'P'}, {'logical_id': 4, 'usage': 28.6, 'type': 'P'}, {'logical_id': 5, 'usage': 16.7, 'type': 'P'}, {'logical_id': 6, 'usage': 14.3, 'type': 'P'}, {'logical_id': 7, 'usage': 16.7, 'type': 'P'}, {'logical_id': 8, 'usage': 42.9, 'type': 'E'}, {'logical_id': 9, 'usage': 57.1, 'type': 'E'}, {'logical_id': 10, 'usage': 42.9, 'type': 'E'}, {'logical_id': 11, 'usage': 42.9, 'type': 'E'}, {'logical_id': 12, 'usage': 71.4, 'type': 'E'}, {'logical_id': 13, 'usage': 71.4, 'type': 'E'}, {'logical_id': 14, 'usage': 28.6, 'type': 'E'}, {'logical_id': 15, 'usage': 50.0, 'type': 'E'}]",20.25,50.900000000000006
20.0,3100.0,76.0,37.39952130641803,2.0,7.3486328125,41.0,"[{'logical_id': 0, 'usage': 0.0, 'type': 'P'}, {'logical_id': 1, 'usage': 12.5, 'type': 'P'}, {'logical_id': 2, 'usage': 14.3, 'type': 'P'}, {'logical_id': 3, 'usage': 0.0, 'type': 'P'}, {'logical_id': 4, 'usage': 0.0, 'type': 'P'}, {'logical_id': 5, 'usage': 0.0, 'type': 'P'}, {'logical_id': 6, 'usage': 0.0, 'type': 'P'}, {'logical_id': 7, 'usage': 0.0, 'type': 'P'}, {'logical_id': 8, 'usage': 28.6, 'type': 'E'}, {'logical_id': 9, 'usage': 50.0, 'type': 'E'}, {'logical_id': 10, 'usage': 85.7, 'type': 'E'}, {'logical_id': 11, 'usage': 28.6, 'type': 'E'}, {'logical_id': 12, 'usage': 28.6, 'type': 'E'}, {'logical_id': 13, 'usage': 0.0, 'type': 'E'}, {'logical_id': 14, 'usage': 0.0, 'type': 'E'}, {'logical_id': 15, 'usage': 0.0, 'type': 'E'}]",3.35,27.6875
12.0,3100.0,76.3,62.26582562463099,10.0,8.10546875,41.0,"[{'logical_id': 0, 'usage': 0.0, 'type': 'P'}, {'logical_id': 1, 'usage': 0.0, 'type': 'P'}, {'logical_id': 2, 'usage': 0.0, 'type': 'P'}, {'logical_id': 3, 'usage': 0.0, 'type': 'P'}, {'logical_id': 4, 'usage': 0.0, 'type': 'P'}, {'logical_id': 5, 'usage': 0.0, 'type': 'P'}, {'logical_id': 6, 'usage': 42.9, 'type': 'P'}, {'logical_id': 7, 'usage': 0.0, 'type': 'P'}, {'logical_id': 8, 'usage': 28.6, 'type': 'E'}, {'logical_id': 9, 'usage': 14.3, 'type': 'E'}, {'logical_id': 10, 'usage': 37.5, 'type': 'E'}, {'logical_id': 11, 'usage': 85.7, 'type': 'E'}, {'logical_id': 12, 'usage': 57.1, 'type': 'E'}, {'logical_id': 13, 'usage': 66.7, 'type': 'E'}, {'logical_id': 14, 'usage': 42.9, 'type': 'E'}, {'logical_id': 15, 'usage': 0.0, 'type': 'E'}]",5.3625,41.6
23.7,3100.0,75.9,37.21771201593139,20.0,7.861328125,40.0,"[{'logical_id': 0, 'usage': 0.0, 'type': 'P'}, {'logical_id': 1, 'usage': 14.3, 'type': 'P'}, {'logical_id': 2, 'usage': 0.0, 'type': 'P'}, {'logical_id': 3, 'usage': 0.0, 'type': 'P'}, {'logical_id': 4, 'usage': 0.0, 'type': 'P'}, {'logical_id': 5, 'usage': 0.0, 'type': 'P'}, {'logical_id': 6, 'usage': 0.0, 'type': 'P'}, {'logical_id': 7, 'usage': 0.0, 'type': 'P'}, {'logical_id': 8, 'usage': 14.3, 'type': 'E'}, {'logical_id': 9, 'usage': 28.6, 'type': 'E'}, {'logical_id': 10, 'usage': 57.1, 'type': 'E'}, {'logical_id': 11, 'usage': 57.1, 'type': 'E'}, {'logical_id': 12, 'usage': 50.0, 'type': 'E'}, {'logical_id': 13, 'usage': 16.7, 'type': 'E'}, {'logical_id': 14, 'usage': 0.0, 'type': 'E'}, {'logical_id': 15, 'usage': 0.0, 'type': 'E'}]",1.7875,27.974999999999998
